date	D12LIP
1980-01-01	0.008608574
1980-02-01	0.003272155
1980-03-01	-0.003160294
1980-04-01	-0.012502517
1980-05-01	-0.045076346
1980-06-01	-0.057561863
1980-07-01	-0.064013772
1980-08-01	-0.053725264
1980-09-01	-0.038760886
1980-10-01	-0.031640245
1980-11-01	-0.01354343
1980-12-01	-0.009310745
1981-01-01	-0.019502198
1981-02-01	-0.024327359
1981-03-01	-0.01563871
1981-04-01	0.000555003
1981-05-01	0.03111335
1981-06-01	0.04835535
1981-07-01	0.062679378
1981-08-01	0.058969661
1981-09-01	0.037021781
1981-10-01	0.017583893
1981-11-01	-0.011035819
1981-12-01	-0.027666799
1982-01-01	-0.04206056
1982-02-01	-0.017818992
1982-03-01	-0.030761123
1982-04-01	-0.035194505
1982-05-01	-0.047552207
1982-06-01	-0.055623396
1982-07-01	-0.065265732
1982-08-01	-0.073936684
1982-09-01	-0.071094089
1982-10-01	-0.073296943
1982-11-01	-0.06573802
1982-12-01	-0.062039942
1983-01-01	-0.02277685
1983-02-01	-0.048578586
1983-03-01	-0.03284515
1983-04-01	-0.011779606
1983-05-01	0.001403179
1983-06-01	0.010728926
1983-07-01	0.028913829
1983-08-01	0.048768948
1983-09-01	0.066864158
1983-10-01	0.084089035
1983-11-01	0.091591167
1983-12-01	0.104075904
1984-01-01	0.104606797
1984-02-01	0.115273545
1984-03-01	0.112010973
1984-04-01	0.106267899
1984-05-01	0.104046489
1984-06-01	0.101573954
1984-07-01	0.089688162
1984-08-01	0.07949092
1984-09-01	0.06264005
1984-10-01	0.052816029
1984-11-01	0.053141972
1984-12-01	0.049182114
1985-01-01	0.027798131
1985-02-01	0.026948749
1985-03-01	0.023645409
1985-04-01	0.014540549
1985-05-01	0.011425657
1985-06-01	0.008591464
1985-07-01	-0.001088223
1985-08-01	0.002099858
1985-09-01	0.008174018
1985-10-01	0.005673625
1985-11-01	0.005100647
1985-12-01	0.014398798
1986-01-01	0.020709842
1986-02-01	0.010502807
1986-03-01	0.002092692
1986-04-01	0.005207523
1986-05-01	0.00588302
1986-06-01	0.001870911
1986-07-01	0.013921585
1986-08-01	0.008523073
1986-09-01	0.006253649
1986-10-01	0.015115975
1986-11-01	0.016380516
1986-12-01	0.014225521
1987-01-01	0.006540978
1987-02-01	0.02610438
1987-03-01	0.034398881
1987-04-01	0.040192295
1987-05-01	0.044519411
1987-06-01	0.052518915
1987-07-01	0.053905634
1987-08-01	0.06345692
1987-09-01	0.064052131
1987-10-01	0.073734239
1987-11-01	0.07440655
1987-12-01	0.070854974
1988-01-01	0.074341594
