date	LIP_Y_US_SA_NEW
1980-01-01	1.358480497
1980-02-01	1.354698805
1980-03-01	1.350987561
1980-04-01	1.332172595
1980-05-01	1.322145006
1980-06-01	1.323275086
1980-07-01	1.316137116
1980-08-01	1.307993241
1980-09-01	1.306884915
1980-10-01	1.33409127
1980-11-01	1.332647113
1980-12-01	1.329933859
1981-01-01	1.318717967
1981-02-01	1.31707518
1981-03-01	1.314363866
1981-04-01	1.330113403
1981-05-01	1.319119374
1981-06-01	1.320490803
1981-07-01	1.320911092
1981-08-01	1.318791848
1981-09-01	1.321880555
1981-10-01	1.316876403
1981-11-01	1.313170922
1981-12-01	1.306535994
1982-01-01	1.309329523
1982-02-01	1.310600947
1982-03-01	1.310554556
1982-04-01	1.294575296
1982-05-01	1.287211143
1982-06-01	1.28687145
1982-07-01	1.279327611
1982-08-01	1.276620336
1982-09-01	1.278017485
1982-10-01	1.262045293
1982-11-01	1.258830202
1982-12-01	1.255695254
1983-01-01	1.257856435
1983-02-01	1.259628996
1983-03-01	1.2574704
1983-04-01	1.260292231
1983-05-01	1.256671482
1983-06-01	1.254892674
1983-07-01	1.272077183
1983-08-01	1.272401249
1983-09-01	1.269666681
1983-10-01	1.277690085
1983-11-01	1.276619901
1983-12-01	1.274964838
1984-01-01	1.286113431
1984-02-01	1.287820477
1984-03-01	1.284367099
1984-04-01	1.285703742
1984-05-01	1.284784708
1984-06-01	1.283985662
1984-07-01	1.28286899
1984-08-01	1.282463336
1984-09-01	1.279201304
1984-10-01	1.273917392
1984-11-01	1.273001267
1984-12-01	1.273106796
1985-01-01	1.267200065
1985-02-01	1.26697978
1985-03-01	1.266700681
1985-04-01	1.262084817
1985-05-01	1.258620576
1985-06-01	1.258059726
1985-07-01	1.242612965
1985-08-01	1.243456894
1985-09-01	1.240373196
1985-10-01	1.240466973
1985-11-01	1.24044604
1985-12-01	1.239374335
1986-01-01	1.234085201
1986-02-01	1.235975996
1986-03-01	1.240322633
1986-04-01	1.225076902
1986-05-01	1.228972057
1986-06-01	1.227065064
1986-07-01	1.221839326
1986-08-01	1.220929309
1986-09-01	1.218090432
1986-10-01	1.226060977
1986-11-01	1.2260814
1986-12-01	1.227849674
1987-01-01	1.232910561
1987-02-01	1.233054966
1987-03-01	1.231111996
1987-04-01	1.244534863
1987-05-01	1.237457884
1987-06-01	1.235631025
1987-07-01	1.247506002
1987-08-01	1.248233486
1987-09-01	1.250021005
1987-10-01	1.254952181
1987-11-01	1.254469133
1987-12-01	1.258643928
1988-01-01	1.257944418
1988-02-01	1.260362322
1988-03-01	1.258719921
1988-04-01	1.258450251
1988-05-01	1.254462968
1988-06-01	1.252978418
1988-07-01	1.251476823
1988-08-01	1.254837285
1988-09-01	1.251965888
1988-10-01	1.245884099
1988-11-01	1.245126201
1988-12-01	1.24928851
1989-01-01	1.238194757
1989-02-01	1.238980028
1989-03-01	1.244937167
1989-04-01	1.226452934
1989-05-01	1.231858697
1989-06-01	1.232075353
1989-07-01	1.216325896
1989-08-01	1.217054503
1989-09-01	1.215702421
1989-10-01	1.219864632
1989-11-01	1.217697486
1989-12-01	1.2171938
1990-01-01	1.210815531
1990-02-01	1.215033868
1990-03-01	1.214615039
1990-04-01	1.223377471
1990-05-01	1.215866014
1990-06-01	1.215637622
1990-07-01	1.220482229
1990-08-01	1.223805741
1990-09-01	1.221447435
1990-10-01	1.215459078
1990-11-01	1.2137074
1990-12-01	1.214625181
1991-01-01	1.192624669
1991-02-01	1.198972047
1991-03-01	1.206670743
1991-04-01	1.196258003
1991-05-01	1.200658089
1991-06-01	1.200046191
1991-07-01	1.206774972
1991-08-01	1.206480247
1991-09-01	1.208977302
1991-10-01	1.20454755
1991-11-01	1.205198296
1991-12-01	1.207992251
1992-01-01	1.189856783
1992-02-01	1.192590579
1992-03-01	1.193115035
1992-04-01	1.200905976
1992-05-01	1.198872427
1992-06-01	1.199697452
1992-07-01	1.196492005
1992-08-01	1.195440775
1992-09-01	1.199167031
1992-10-01	1.199916575
1992-11-01	1.197667342
1992-12-01	1.198445386
1993-01-01	1.203372402
1993-02-01	1.203080611
1993-03-01	1.205250001
1993-04-01	1.201745279
1993-05-01	1.200913167
1993-06-01	1.202310981
1993-07-01	1.196782898
1993-08-01	1.198782935
1993-09-01	1.203524641
1993-10-01	1.202723057
1993-11-01	1.202043135
1993-12-01	1.204879503
1994-01-01	1.200839285
1994-02-01	1.203906328
1994-03-01	1.205867984
1994-04-01	1.208173806
1994-05-01	1.209602185
1994-06-01	1.210232311
1994-07-01	1.214814625
1994-08-01	1.215687566
1994-09-01	1.215736032
1994-10-01	1.224260321
1994-11-01	1.226084255
1994-12-01	1.228973185
1995-01-01	1.230687058
1995-02-01	1.231058437
1995-03-01	1.23031061
1995-04-01	1.233951573
1995-05-01	1.232052606
1995-06-01	1.229813494
1995-07-01	1.228116172
1995-08-01	1.233723941
1995-09-01	1.23294747
1995-10-01	1.233755429
1995-11-01	1.235228858
1995-12-01	1.23634487
1996-01-01	1.230381597
1996-02-01	1.234044727
1996-03-01	1.233107448
1996-04-01	1.236793893
1996-05-01	1.239842504
1996-06-01	1.236754717
1996-07-01	1.238814339
1996-08-01	1.243667982
1996-09-01	1.239960773
1996-10-01	1.244643571
1996-11-01	1.245675397
1996-12-01	1.249431674
1997-01-01	1.251228992
1997-02-01	1.254582786
1997-03-01	1.257356822
1997-04-01	1.248594209
1997-05-01	1.258073876
1997-06-01	1.259998843
1997-07-01	1.266204617
1997-08-01	1.26839474
1997-09-01	1.26091439
1997-10-01	1.287379667
1997-11-01	1.282699414
1997-12-01	1.283062186
1998-01-01	1.28296781
1998-02-01	1.281500591
1998-03-01	1.280764298
1998-04-01	1.281801437
1998-05-01	1.278385532
1998-06-01	1.282434237
1998-07-01	1.266970767
1998-08-01	1.279057993
1998-09-01	1.278654023
1998-10-01	1.276602924
1998-11-01	1.274577518
1998-12-01	1.274241202
1999-01-01	1.274100854
1999-02-01	1.27610904
1999-03-01	1.271622407
1999-04-01	1.277057709
1999-05-01	1.279279891
1999-06-01	1.277289638
1999-07-01	1.273424534
1999-08-01	1.274798714
1999-09-01	1.272654938
1999-10-01	1.276155159
1999-11-01	1.275311453
1999-12-01	1.276245073
2000-01-01	1.279919723
2000-02-01	1.280904186
2000-03-01	1.276708664
2000-04-01	1.274684716
2000-05-01	1.277940499
2000-06-01	1.272856573
2000-07-01	1.272974181
2000-08-01	1.275049452
2000-09-01	1.269721871
2000-10-01	1.268333003
2000-11-01	1.267248877
2000-12-01	1.262749333
2001-01-01	1.2544974
2001-02-01	1.253298648
2001-03-01	1.25002997
2001-04-01	1.243993843
2001-05-01	1.234924129
2001-06-01	1.231338707
2001-07-01	1.225097585
2001-08-01	1.226416194
2001-09-01	1.226558823
2001-10-01	1.213652574
2001-11-01	1.213316436
2001-12-01	1.212157056
2002-01-01	1.209830906
2002-02-01	1.209416393
2002-03-01	1.208299979
2002-04-01	1.219394056
2002-05-01	1.223640242
2002-06-01	1.219270994
2002-07-01	1.226282541
2002-08-01	1.221413694
2002-09-01	1.218627974
2002-10-01	1.218742137
2002-11-01	1.222737151
2002-12-01	1.221051657
2003-01-01	1.222183134
2003-02-01	1.221264237
2003-03-01	1.217425399
2003-04-01	1.205685144
2003-05-01	1.205838367
2003-06-01	1.203485781
2003-07-01	1.20324906
2003-08-01	1.193345017
2003-09-01	1.190269593
2003-10-01	1.192387256
2003-11-01	1.193251923
2003-12-01	1.193734407
2004-01-01	1.197511423
2004-02-01	1.193602689
2004-03-01	1.190879025
2004-04-01	1.194238044
2004-05-01	1.193171512
2004-06-01	1.189471691
2004-07-01	1.18919992
2004-08-01	1.190628994
2004-09-01	1.18973203
2004-10-01	1.193270833
2004-11-01	1.195030133
2004-12-01	1.196648679
2005-01-01	1.195505479
2005-02-01	1.199295484
2005-03-01	1.198528221
2005-04-01	1.195007208
2005-05-01	1.200079123
2005-06-01	1.197910536
2005-07-01	1.18511062
2005-08-01	1.188061841
2005-09-01	1.184575723
2005-10-01	1.18720881
2005-11-01	1.190299596
2005-12-01	1.191548485
2006-01-01	1.187368323
2006-02-01	1.187466283
2006-03-01	1.182370036
2006-04-01	1.195955113
2006-05-01	1.186973411
2006-06-01	1.185381638
2006-07-01	1.190842059
2006-08-01	1.195730794
2006-09-01	1.19301323
2006-10-01	1.184900385
2006-11-01	1.187281308
2006-12-01	1.190205987
2007-01-01	1.194310583
