_date_	ch_gr12ir
1990-01-01	NA
1990-02-01	NA
1990-03-01	NA
1990-04-01	NA
1990-05-01	NA
1990-06-01	NA
1990-07-01	NA
1990-08-01	NA
1990-09-01	NA
1990-10-01	NA
1990-11-01	NA
1990-12-01	NA
1991-01-01	NA
1991-02-01	NA
1991-03-01	NA
1991-04-01	NA
1991-05-01	NA
1991-06-01	NA
1991-07-01	NA
1991-08-01	NA
1991-09-01	NA
1991-10-01	NA
1991-11-01	NA
1991-12-01	NA
1992-01-01	NA
1992-02-01	NA
1992-03-01	NA
1992-04-01	NA
1992-05-01	NA
1992-06-01	NA
1992-07-01	NA
1992-08-01	NA
1992-09-01	NA
1992-10-01	NA
1992-11-01	NA
1992-12-01	NA
1993-01-01	NA
1993-02-01	NA
1993-03-01	NA
1993-04-01	NA
1993-05-01	NA
1993-06-01	NA
1993-07-01	NA
1993-08-01	NA
1993-09-01	NA
1993-10-01	NA
1993-11-01	NA
1993-12-01	NA
1994-01-01	NA
1994-02-01	NA
1994-03-01	NA
1994-04-01	NA
1994-05-01	NA
1994-06-01	NA
1994-07-01	NA
1994-08-01	NA
1994-09-01	NA
1994-10-01	NA
1994-11-01	NA
1994-12-01	NA
1995-01-01	NA
1995-02-01	NA
1995-03-01	NA
1995-04-01	NA
1995-05-01	NA
1995-06-01	NA
1995-07-01	NA
1995-08-01	NA
1995-09-01	NA
1995-10-01	NA
1995-11-01	NA
1995-12-01	NA
1996-01-01	12.8100
1996-02-01	12.9100
1996-03-01	12.8500
1996-04-01	12.6200
1996-05-01	12.2000
1996-06-01	12.3700
1996-07-01	12.2200
1996-08-01	12.1600
1996-09-01	11.4100
1996-10-01	11.4700
1996-11-01	11.6100
1996-12-01	11.5400
1997-01-01	11.6100
1997-02-01	11.5800
1997-03-01	11.4100
1997-04-01	11.3100
1997-05-01	11.1000
1997-06-01	11.0800
1997-07-01	10.6100
1997-08-01	10.6100
1997-09-01	10.4300
1997-10-01	9.2000
1997-11-01	8.8400
1997-12-01	8.6300
1998-01-01	8.7000
1998-02-01	8.6200
1998-03-01	8.2500
1998-04-01	6.9200
1998-05-01	7.6300
1998-06-01	6.5200
1998-07-01	5.1800
1998-08-01	5.0900
1998-09-01	5.0700
1998-10-01	5.1800
1998-11-01	5.1400
1998-12-01	4.5000
1999-01-01	4.4500
1999-02-01	4.4300
1999-03-01	4.4300
1999-04-01	4.4200
1999-05-01	4.6200
1999-06-01	3.3500
1999-07-01	2.8500
1999-08-01	2.7400
1999-09-01	2.7600
1999-10-01	2.7400
1999-11-01	2.7200
1999-12-01	2.7000
2000-01-01	2.4800
2000-02-01	2.5300
2000-03-01	2.5100
2000-04-01	2.4300
2000-05-01	2.4100
2000-06-01	2.3700
2000-07-01	2.3600
2000-08-01	2.3600
2000-09-01	2.3500
2000-10-01	2.3600
2000-11-01	2.3600
2000-12-01	2.5100
2001-01-01	2.6100
2001-02-01	2.6100
2001-03-01	2.5800
2001-04-01	2.5300
2001-05-01	2.5200
2001-06-01	2.4700
2001-07-01	2.4700
2001-08-01	2.4200
2001-09-01	2.3900
2001-10-01	2.3500
2001-11-01	2.3400
2001-12-01	2.3900
2002-01-01	2.3700
2002-02-01	2.2700
2002-03-01	2.2200
2002-04-01	2.1600
2002-05-01	2.1200
2002-06-01	2.0400
2002-07-01	2.0200
2002-08-01	2.0300
2002-09-01	2.1200
2002-10-01	2.1200
2002-11-01	2.1100
2002-12-01	2.2300
2003-01-01	2.1600
2003-02-01	2.1300
2003-03-01	2.0600
2003-04-01	1.9800
2003-05-01	2.0200
2003-06-01	2.1100
2003-07-01	2.1500
2003-08-01	2.1900
2003-09-01	2.6900
2003-10-01	2.8600
2003-11-01	2.5100
2003-12-01	2.1700
2004-01-01	2.3800
2004-02-01	2.2400
2004-03-01	2.0700
2004-04-01	2.2700
2004-05-01	2.2100
2004-06-01	2.4000
2004-07-01	2.3300
2004-08-01	2.3400
2004-09-01	2.3000
2004-10-01	2.2400
2004-11-01	2.2200
2004-12-01	2.0700
2005-01-01	2.0700
2005-02-01	2.3100
2005-03-01	1.9800
2005-04-01	1.6700
2005-05-01	1.5500
2005-06-01	1.4000
2005-07-01	1.4400
2005-08-01	1.4500
2005-09-01	1.5100
2005-10-01	1.4400
2005-11-01	1.5000
2005-12-01	1.7200
2006-01-01	1.8800
2006-02-01	1.5800
2006-03-01	1.6600
2006-04-01	1.8300
2006-05-01	1.7600
2006-06-01	2.0800
2006-07-01	2.3100
2006-08-01	2.4000
2006-09-01	2.3200
2006-10-01	2.4000
2006-11-01	3.0500
2006-12-01	2.2500
2007-01-01	1.8600
2007-02-01	2.6700
2007-03-01	1.7000
2007-04-01	2.8200
2007-05-01	2.0100
2007-06-01	2.3900
2007-07-01	2.3300
2007-08-01	2.0000
2007-09-01	3.3600
2007-10-01	3.0300
2007-11-01	2.2800
2007-12-01	2.0900
2008-01-01	2.3200
2008-02-01	2.6500
2008-03-01	2.2600
2008-04-01	2.5900
2008-05-01	2.8300
2008-06-01	3.0700
2008-07-01	2.6900
2008-08-01	2.8000
2008-09-01	2.8900
2008-10-01	2.7000
2008-11-01	2.3000
2008-12-01	1.2400
2009-01-01	0.9000
2009-02-01	0.8700
2009-03-01	0.8400
2009-04-01	0.8600
2009-05-01	0.8500
2009-06-01	0.9100
2009-07-01	1.3200
2009-08-01	1.2100
2009-09-01	1.2700
2009-10-01	1.3000
2009-11-01	1.2500
2009-12-01	1.2500
2010-01-01	1.1600
2010-02-01	1.5200
2010-03-01	1.4000
2010-04-01	1.3400
2010-05-01	1.6700
2010-06-01	2.3100
2010-07-01	1.6700
2010-08-01	1.6200
2010-09-01	1.9000
2010-10-01	1.6800
2010-11-01	1.7600
2010-12-01	2.9200
2011-01-01	3.7000
2011-02-01	2.7300
2011-03-01	1.9300
2011-04-01	2.1600
2011-05-01	2.9300
2011-06-01	4.5600
2011-07-01	4.4400
2011-08-01	3.3000
2011-09-01	3.7400
2011-10-01	3.7500
2011-11-01	3.4900
2011-12-01	3.3300
2012-01-01	4.3700
2012-02-01	3.3800
2012-03-01	2.5800
2012-04-01	3.2500
2012-05-01	2.1900
2012-06-01	2.7200
2012-07-01	2.7800
2012-08-01	2.8400
2012-09-01	2.9300
2012-10-01	2.8700
2012-11-01	2.5700
2012-12-01	2.6100
2013-01-01	2.2700
2013-02-01	2.7700
2013-03-01	2.4700
2013-04-01	2.5000
2013-05-01	2.9200
2013-06-01	6.5800
2013-07-01	3.5400
2013-08-01	3.4400
2013-09-01	3.4700
2013-10-01	3.8300
2013-11-01	4.1200
2013-12-01	4.1600
2014-01-01	3.8600
2014-02-01	3.0100
2014-03-01	2.4903
2014-04-01	2.7168
2014-05-01	2.5586
2014-06-01	2.8510
2014-07-01	3.4138
2014-08-01	3.1745
2014-09-01	2.9697
2014-10-01	2.6881
2014-11-01	2.8218
2014-12-01	3.4855
2015-01-01	3.1756
2015-02-01	3.6392
2015-03-01	3.6950
2015-04-01	2.4939
2015-05-01	1.4170
2015-06-01	1.4438
2015-07-01	1.5100
2015-08-01	1.7912
2015-09-01	2.0481
2015-10-01	1.9882
2015-11-01	1.9042
2015-12-01	1.9728
2016-01-01	2.1079
2016-02-01	2.0916
2016-03-01	2.0888
2016-04-01	2.1120
2016-05-01	2.1020
