date	CIP_UK	CIP_US_CA	CIP_US_SWE	CROSS_STOCK_US_CA	CROSS_STOCK_US_DE	CROSS_STOCK_US_JP	CROSS_STOCK_US_UK	DEBT_EQUITY_US	GOV10Y_1Y_US	GOV30Y_10Y_US	GOV30Y_1Y_US	LENDING_DEPOSIT_US	LRATE_DRATE_US	M1_LIQUIDITY_US	MORT_BOND_US	MORTGAGE_LOAN_US1	REFER_US	TBILL_6M_3M	TED3M_US
1979-12-01	0.129789452	-0.090812504	-0.121800134	1.387729479	0.716875536	1.942974109	1.215454705	11.71040091	-1.31	-0.28	-1.59	0.791631878	0.605	0.000285284	2.79	0.281317435	103.55	-0.17	-2.705
1980-01-01	0.207996362	-0.054934477	-0.16440461	1.48001568	0.690044671	1.94065871	1.265158071	11.82625799	-1.6	0.29	-1.31	0.797223903	0.741	0.000288963	1.79	0.283633737	103.34	-0.3	-2.339
1980-02-01	0.152841977	-0.534525942	-0.101089061	1.635601537	0.707490455	1.944074837	1.3753517	11.57598644	-3.04	-0.16	-3.2	0.798264961	0.178	0.000290109	0.79	0.285316351	104.3	0.21	-1.672
1980-03-01	-0.038044689	-0.468920328	-0.380186375	1.430186344	0.704224382	2.03472711	1.40228618	11.06858089	-3.05	-0.44	-3.49	0.800889046	-0.612	0.000288393	2.97	0.284982047	107.93	-0.84	-3.372
1980-04-01	-0.010929529	0.070291778	-0.374183506	1.428961558	0.635585204	1.962587501	1.317808515	11.2092094	0.35	-0.58	-0.23	0.792745835	1.792	0.000282086	5.43	0.286695587	108.9	-1.77	-5.798
1980-05-01	0.376380781	0.382926501	0.104469665	1.476940636	0.673736415	1.981448704	1.291651232	11.33269176	1.35	0.19	1.54	0.791030325	5.126	0.000283285	3.89	0.290043542	104.44	0.32	-3.744
1980-06-01	0.53093337	0.412657043	0.347647846	1.516597262	0.68423596	2.104036776	1.439190834	11.7796981	1.29	0.21	1.5	0.782855191	3.177	0.000283653	2.72	0.29117518	102.47	0.47	-2.033
1980-07-01	0.466924306	0.119024264	0.27139378	1.504867402	0.657808787	2.000889847	1.427917103	12.11146371	0.89	0.55	1.44	0.781545695	2.013	0.000285259	1.39	0.292140302	101.26	0.75	-1.537
1980-08-01	0.404460078	-0.105240013	0.165179374	1.510183172	0.627931332	1.954153458	1.404724889	12.08157521	-0.05	0.17	0.12	0.783166795	0.174	0.000286697	1.29	0.29148931	102.58	0.25	-0.936
1980-09-01	0.235809456	-0.277283995	0.05808342	1.488193987	0.609282612	2.031557118	1.454078813	12.42839467	-0.78	0.19	-0.59	0.777433475	0.014	0.000285413	1.5	0.290178648	101.47	1.01	-1.766
